version,zwin,coef,cost_bp,clip_type,clip_low_base,clip_high_base,period,period_start,period_end,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,AnnRet,Vol,DownsideVol,WinRate,PayoffRatio
A_v7_14_v9_dynamic_clip,8,0.8,20,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.7669370960920824,0.9774364959507393,0.5757280214846134,-0.19717335926289237,555,0.1135182280178999,0.14801504399295654,0.11613872460070385,0.4858576642335766,1.0476875689530971
A_v7_14_v9_dynamic_clip,8,0.8,20,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,0.870035705761558,1.1951624929511986,0.6477113356392703,-0.19717335926289237,410,0.1277114198806497,0.14678871112405853,0.10685695094504985,0.4804177545691906,1.094665896903828
A_v7_14_v9_dynamic_clip,8,1.0,5,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.9480425289737638,1.2022796989134696,0.7538184849971192,-0.1831392627956253,349,0.13805376162408756,0.14561979806278086,0.11482665951096921,0.48950729927007297,1.0643722582008324
A_v7_14_v9_dynamic_clip,8,1.0,5,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,1.0912487232405874,1.4878604396428963,0.8746916616645629,-0.18072231151761653,176,0.1580762989612048,0.14485817540457616,0.10624403657048972,0.48476936466492604,1.1155156552729182
A_v7_14_v9_dynamic_clip,8,1.0,10,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.8852822988567162,1.1213976410058468,0.6953739373398297,-0.1853802460983176,497,0.1289085916344137,0.14561297769185114,0.11495350705284887,0.48950729927007297,1.0532048406416037
A_v7_14_v9_dynamic_clip,8,1.0,10,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,1.022127405934477,1.3930185485424276,0.7985999879419808,-0.1853802460983176,257,0.14804466229879787,0.14483973469378653,0.10627616010835109,0.48476936466492604,1.1030570275737106
A_v7_14_v9_dynamic_clip,8,1.0,15,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.8228435588049845,1.0417658884413863,0.6306488545183492,-0.19001445692871632,550,0.11983239960402114,0.1456320564483165,0.1150281468548616,0.48722627737226276,1.0525043449391267
A_v7_14_v9_dynamic_clip,8,1.0,15,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,0.953364663065058,1.2991169042102078,0.726759727227837,-0.19001445692871632,262,0.13809485488685946,0.14484998263191953,0.10629902084971607,0.4821583986074848,1.1030969365508418
A_v7_14_v9_dynamic_clip,8,1.0,20,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.760756189859502,0.9625823433804924,0.5694266846856055,-0.19462505152620635,552,0.11082469784733284,0.14567702415645173,0.11513269343600013,0.4854014598540146,1.0496769359708917
A_v7_14_v9_dynamic_clip,8,1.0,20,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,0.8849969693824726,1.2055495319255494,0.6588373285609033,-0.19462505152620635,380,0.12822624901855395,0.1448889131315634,0.10636331865497566,0.4804177545691906,1.0989576511330834
