Strategy,Period,Start,End,AnnRet,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,Vol,DownsideVol,WinRate,PayoffRatio,N_Days
v7.10 TV-PR (15bp),2022 慢熊,2022-01-01,2022-12-31,-0.01480700215057218,-0.07009602321916288,-0.1209260685738276,-0.09313235614552628,-0.15898880650496083,111,0.21123883311149436,0.12244673398550315,0.48132780082987553,1.0836618860288103,242
v7.10 TV-PR (15bp),2023 慢熊延续,2023-01-01,2023-12-31,-0.009233243995415141,-0.06646212327034516,-0.10210901454062377,-0.06268257773145876,-0.1473016000549897,102,0.13892490250209832,0.09042535604671538,0.5062240663900415,0.9758098222270948,242
v7.10 TV-PR (20bp),Full Sample,2018-01-03,2026-05-29,0.12897989241667807,0.6510438168079375,0.9133947083532119,0.5464369124544898,-0.23603803014940028,634,0.19811246046243924,0.14120937119202276,0.5066339066339066,1.0945459058853413,2036
v7.10 TV-PR (20bp),OOS 22-26,2022-01-01,2026-05-29,0.1498837351367981,0.7300596046962716,1.0839206152957028,0.9155054171143651,-0.16371692874218635,152,0.20530342203929303,0.13827925497653581,0.5051740357478833,1.1274698396637832,1064
v7.10 TV-PR (20bp),2018 贸易战大跌,2018-01-22,2018-12-28,-0.1414628926046667,-1.5182758948501187,-2.054951266611554,-1.024259429451719,-0.13811236541936556,226,0.09317337717373933,0.06884002307165532,0.4342105263157895,0.9875625801963661,229
v7.10 TV-PR (20bp),2019 春燥行情,2019-01-02,2019-04-26,0.65669959577522,2.796888574436179,4.106028589270838,9.11975428747095,-0.07200847468855798,15,0.2347964812676183,0.15993546598559824,0.5263157894736842,1.3669646687035324,77
v7.10 TV-PR (20bp),2020 疫情牛,2020-03-23,2021-02-10,0.5411763504126386,2.3989367752521056,3.506838991576713,4.726913152265807,-0.11448832102050155,103,0.2255900847390053,0.1543202729616394,0.5662100456621004,1.0728041041822005,220
v7.10 TV-PR (20bp),2021 白马崩盘,2021-09-13,2022-04-29,-0.3238279579314556,-1.76375264856196,-2.7232735622534627,-1.4173252237400706,-0.22847822963097408,149,0.18360168484820258,0.11891128471995793,0.4563758389261745,0.8482686156063094,150
v7.10 TV-PR (20bp),2022 慢熊,2022-01-01,2022-12-31,-0.04270014604613814,-0.20167527579034894,-0.34721384396979593,-0.2608169257400394,-0.16371692874218635,113,0.21172722277829922,0.1229793880276635,0.48132780082987553,1.0599491596588937,242
v7.10 TV-PR (20bp),2023 慢熊延续,2023-01-01,2023-12-31,-0.03667171493057875,-0.2632531889259365,-0.4036020096937446,-0.23582032794951993,-0.1555070135362917,102,0.13930207295948824,0.09086108108927764,0.5020746887966805,0.9590540792951913,242
v6 全风控,Full Sample,2018-01-03,2026-05-29,0.1396225617419644,0.882264889137403,1.0336682898742158,0.5382763686108596,-0.2593882434450747,374,0.1582546959093821,0.13507482343194904,0.4687960687960688,1.0298252793287632,2036
v6 全风控,OOS 22-26,2022-01-01,2026-05-29,0.13185798288955786,0.8818951012963405,1.2708324882018363,0.7538003695569794,-0.17492427466844163,374,0.14951662924052236,0.10375717029089351,0.522107243650047,1.0711906682654064,1064
v6 全风控,2018 贸易战大跌,2018-01-22,2018-12-28,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,229
