k,eta,tau,marginal,pa_std,worst10,extreme,width_bps,score,runtime_s
4,0.3,90,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.5901427268981934
4,0.3,120,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.5813853740692139
4,0.3,180,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.6010289192199707
4,0.3,60,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.5902895927429199
2,0.3,180,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.5829300880432129
2,0.3,30,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.5973813533782959
2,0.3,20,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.5807132720947266
2,0.3,90,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.5769710540771484
2,0.3,60,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.5903723239898682
2,0.3,45,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.5913467407226562
4,0.3,45,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.5900492668151855
4,0.2,30,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.5940251350402832
4,0.2,45,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.572150707244873
2,0.2,45,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.5620498657226562
2,0.2,60,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.5710599422454834
4,0.2,180,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.5912399291992188
4,0.2,120,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.5837395191192627
4,0.2,90,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.5737192630767822
4,0.2,60,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.568925142288208
2,0.2,30,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.5574390888214111
4,0.2,20,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.5850191116333008
2,0.2,90,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.5679669380187988
2,0.2,20,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.5605978965759277
2,0.2,120,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.5822746753692627
2,0.2,180,0.9779251848629839,0.015765140594573897,0.943526170798898,0.9273684210526316,698.0517380099761,8.49680676954347,0.6070914268493652
2,0.1,30,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.5711228847503662
2,0.1,45,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.5762960910797119
2,0.1,20,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.5682961940765381
4,0.1,180,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.5881433486938477
4,0.1,120,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.580765962600708
4,0.1,90,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.5772576332092285
4,0.1,60,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.5716476440429688
4,0.1,45,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.619701623916626
4,0.1,30,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.591017484664917
4,0.1,20,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.5932996273040771
2,0.1,60,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.5716476440429688
2,0.1,90,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.5729532241821289
2,0.1,120,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.5859520435333252
2,0.1,180,0.9658547194432362,0.018245775850538944,0.9269972451790635,0.8852631578947369,663.8677964107163,8.097534903283957,0.5719418525695801
6,0.0,20,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5974116325378418
2,0.0,20,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5832204818725586
