date,realized_ret_v10,realized_ret_v10_2,width_z_today,stress_today,alert_level,applied_scale
2022-12-06,-0.011794260554562275,-0.011794260554562275,0.0,0.1822335157999958,green,1.0
2022-12-07,-0.0018398416124813187,-0.0018398416124813187,0.0,0.02313225066732646,green,1.0
2022-12-08,0.006909782157792478,0.006909782157792478,0.0,0.04332977978827146,green,1.0
2022-12-09,0.010655921033957584,0.010655921033957584,0.0,0.2316680030526203,green,1.0
2022-12-12,-0.010222084829928015,-0.010222084829928015,0.0,0.16225776414841955,green,1.0
2022-12-13,0.0016436816437656932,0.0016436816437656932,0.0,0.05490184143116338,green,1.0
2022-12-14,0.00789642426435846,0.00789642426435846,0.0,0.3720318425116414,green,1.0
2022-12-15,-0.008111538103898797,-0.008111538103898797,0.0,0.21537339027485267,green,1.0
2022-12-16,-0.01069647990713798,-0.01069647990713798,0.0,0.5381017339434236,green,1.0
2022-12-19,-0.018729399384773096,-0.01696630372341639,0.0,0.9839266831743555,red,0.4
2022-12-20,-0.013389906547984155,-0.013389906547984155,0.0,0.34289262334586923,green,1.0
2022-12-21,0.011451732389173897,0.011451732389173897,0.0,0.20455775935924816,green,1.0
2022-12-22,9.471947243953048e-05,0.0007425504608006684,0.0,0.7903209813265443,yellow,0.7
2022-12-23,0.0066529749566451865,0.0066529749566451865,0.0,0.01892259566713506,green,1.0
2022-12-26,0.005616654540133781,0.0037690751230735667,0.0,0.948285357610651,red,0.4
2022-12-27,0.009666201133790376,0.009666201133790376,0.0,0.12734030486825607,green,1.0
2022-12-28,-0.0038392352799657913,-0.0038392352799657913,0.0,0.014535351444963254,green,1.0
2022-12-29,0.0016155518792146935,0.0016155518792146935,0.0,0.057456077764955774,green,1.0
2022-12-30,0.010674875704366028,0.010674875704366028,0.0,0.010162718764103478,green,1.0
2023-01-03,0.008567980599024328,0.0069157834143087,0.0,0.8361846433466767,yellow,0.7
2023-01-04,0.004137645341055718,0.0024872356676289443,0.0,0.9494626305348288,red,0.4
2023-01-05,0.01914635310010944,0.02012391520126269,0.0,0.9999676073855116,red,0.4
2023-01-06,-0.008720799737609242,-0.008720799737609242,0.0,0.035023835861783384,green,1.0
2023-01-09,0.01815397900477347,0.01815397900477347,0.0,0.3882258411464282,green,1.0
2023-01-10,-0.00040943615013595575,-0.00040943615013595575,0.0,0.014373859004453343,green,1.0
2023-01-11,-0.0006941698971827392,-0.0006941698971827392,0.0,0.0772179314288967,green,1.0
2023-01-12,-0.010019263484149587,-0.010019263484149587,0.0,0.019318588114669855,green,1.0
2023-01-13,0.017681655486302274,0.017024508101422944,0.0,0.9837631857910812,red,0.4
2023-01-16,-0.003333367308736213,0.008614021497558131,0.0,0.9995281776129793,red,0.4
2023-01-17,-0.0028178957300832863,-0.0028178957300832863,0.0,0.042952281318658934,green,1.0
2023-01-18,0.003760479229356606,0.003760479229356606,0.0,0.07738741735739167,green,1.0
2023-01-19,0.000652038771262986,0.0046244518721415846,0.0,0.8748129161960922,red,0.4
