date,turnover,cost,port_ret,alert_level,applied_scale,is_month_end,is_monday,days_since_month_end
2026-02-05,0.0,0.0,-0.03165547069108321,green,1.0,False,False,6
2026-02-06,0.0,0.0,-0.01577496911527132,green,1.0,False,False,7
2026-02-09,0.0,0.0,0.03495220623732753,green,1.0,False,True,10
2026-02-10,0.0,0.0,-0.00466461423640252,green,1.0,False,False,11
2026-02-11,0.0,0.0,0.008341925203861456,green,1.0,False,False,12
2026-02-12,0.0,0.0,-0.003532255065997303,green,1.0,False,False,13
2026-02-13,0.0,0.0,-0.013526119402985204,green,1.0,False,False,14
2026-02-24,0.0,0.0,0.03546099290780136,green,1.0,False,False,25
2026-02-25,0.0,0.0,0.0008219178082191636,green,1.0,False,False,26
2026-02-26,0.0,0.0,-0.004197463272196278,green,1.0,False,False,27
2026-02-27,0.0,0.0,0.001832676624209606,green,1.0,True,False,0
2026-03-02,0.0,0.0,0.04426964236714537,green,1.0,False,True,3
2026-03-03,0.0,0.0,-0.013839011999649653,green,1.0,False,False,4
2026-03-04,0.0,0.0,-0.02478017585931258,green,1.0,False,False,5
2026-03-05,0.0,0.0,-0.0014571948998178819,green,1.0,False,False,6
2026-03-06,0.0,0.0,-0.008299890550893974,green,1.0,False,False,7
2026-03-09,0.0,0.0,-0.0004598546859191366,green,1.0,False,True,10
2026-03-10,0.0,0.0,0.008097165991902688,green,1.0,False,False,11
2026-03-11,0.0,0.0,0.0016429353778752986,green,1.0,False,False,12
2026-03-12,0.0,0.0,-0.0032804811372334486,green,1.0,False,False,13
2026-03-13,0.0,0.0,-0.012433717315779913,green,1.0,False,False,14
2026-03-16,0.0,0.0,-0.012775411960748051,green,1.0,False,True,17
2026-03-17,0.0,0.0,-0.0025318829707425827,green,1.0,False,False,18
2026-03-18,0.0,0.0,-0.0029143555513773123,green,1.0,False,False,19
2026-03-19,0.0,0.0,-0.045257401470865544,green,1.0,False,False,20
2026-03-20,0.0,0.0,-0.02271380604384743,green,1.0,False,False,21
2026-03-23,0.0,0.0,-0.09650363783346805,green,1.0,False,True,24
2026-03-24,0.0,0.0,0.04004026395257787,green,1.0,False,False,25
2026-03-25,0.0,0.0,0.0367781481879772,green,1.0,False,False,26
2026-03-26,0.0,0.0,-0.01981122290218862,green,1.0,False,False,27
2026-03-27,0.0,0.0,0.004656084656084802,green,1.0,False,False,28
2026-03-30,0.0,0.0,0.017063408468506402,green,1.0,False,True,31
2026-03-31,0.0,0.0,0.004453189726594697,green,1.0,True,False,0
2026-04-01,0.0,0.0,0.03350860913496234,green,1.0,False,False,1
2026-04-02,0.0,0.0,-0.028531524341580128,green,1.0,False,False,2
2026-04-03,0.0,0.0,0.009242144177449063,green,1.0,False,False,3
2026-04-07,0.0,0.0,0.0009157509157509125,green,1.0,False,False,7
2026-04-08,0.0,0.0,0.02805733455321735,green,1.0,False,False,8
2026-04-09,0.0,0.0,-0.020270938396123817,green,1.0,False,False,9
2026-04-10,0.0,0.0,0.006459426725878181,green,1.0,False,False,10
2026-04-13,0.0,0.0,-0.004813477737665495,green,1.0,False,True,13
2026-04-14,0.0,0.0,0.008766626360338536,green,1.0,False,False,14
2026-04-15,0.0,0.0,0.005294176405953532,green,1.0,False,False,15
2026-04-16,0.0,0.0,0.0032790143084260315,green,1.0,False,False,16
2026-04-17,0.0,0.0,-0.006734673665445112,green,1.0,False,False,17
2026-04-20,0.0,0.0,0.0006979758699769967,green,1.0,False,True,20
2026-04-21,0.0,0.0,-0.002590673575129543,green,1.0,False,False,21
2026-04-22,0.0,0.0,-0.0005994005994006679,green,1.0,False,False,22
2026-04-23,0.0,0.0,-0.010395841663334626,green,1.0,False,False,23
2026-04-24,0.0,0.0,-0.007474747474747412,green,1.0,False,False,24
2026-04-27,0.0,0.0,0.007225727661306802,green,1.0,False,True,27
2026-04-28,0.0,0.0,-0.016671718702637284,green,1.0,False,False,28
2026-04-29,0.0,0.0,-0.009761611179613494,green,1.0,False,False,29
2026-04-30,2.0,0.002,-0.001529051987767538,green,1.0,True,False,0
2026-05-06,0.0,0.0,0.02603369065849903,green,1.0,False,False,6
