,50,100,200,500,1000
2017-09-12,1.1803405390655914,1.200201343692308,1.2353323074975644,1.232755298310847,1.1856642916222895
2017-09-13,1.1794290810540875,1.1992745491835026,1.234378384886866,1.2318033656645624,1.1849619008457495
2017-09-14,1.1776805067978489,1.1974965528320898,1.232548344996429,1.229977143394357,1.1835004222138246
2017-09-15,1.1760580667749658,1.195846813090823,1.2308503159015107,1.228282656533824,1.1816603257617315
2017-09-18,1.1772448518475938,1.1970535674059548,1.2320923929917664,1.2295221425446974,1.1817118777881435
2017-09-19,1.1747212481720093,1.1944875007310096,1.229451215256537,1.2268864745328403,1.1793902636786529
2017-09-20,1.177468922662037,1.1972814085108532,1.2323269032090196,1.2297561635535161,1.1820619851975054
2017-09-21,1.171688463448249,1.1914036853572967,1.22627713385634,1.223719014538785,1.1759497826076049
2017-09-22,1.1699685229384331,1.1896548045532995,1.2244770617513598,1.2219226975386648,1.1749035140779083
2017-09-25,1.1663244761459246,1.1859494418108585,1.220663239736586,1.218116831483845,1.172331090602794
2017-09-26,1.1683513616358403,1.188010432353836,1.2227845573109812,1.220233723807768,1.174453881093402
2017-09-27,1.1697978984178052,1.1894813090474292,1.22429848787729,1.2217444961850181,1.1755495551763497
2017-09-28,1.1646553324843525,1.18425221257986,1.218916331092215,1.2163735670407938,1.1708243006031132
2017-09-29,1.1682360129943279,1.187893142817508,1.2226638346053127,1.2201132529400218,1.174190559151219
2017-10-02,1.1726416123333763,1.1923728722467508,1.2272746901383205,1.2246347089604102,1.1768013968526674
2017-10-03,1.1726416121364052,1.1923728720466713,1.2272746899694915,1.2246347084337867,1.1768013965182738
2017-10-04,1.1732986745925913,1.1930409904558184,1.2279623648626605,1.2253209034759258,1.1768150042185268
2017-10-05,1.1735491256353066,1.1932956556694831,1.228224483985328,1.2255824623180647,1.1768201916845011
2017-10-06,1.1735491233783377,1.1932956533768988,1.2282244820508232,1.2255824562838193,1.176820187855797
2017-10-09,1.173131179286268,1.1928706768174766,1.2277870659953125,1.225145981662185,1.1768115389491778
2017-10-10,1.1738961782532513,1.1936485479114978,1.2285877058173524,1.2259449016757715,1.1770814618980472
2017-10-11,1.1725420166061593,1.1922716006871261,1.2271704540184187,1.2245306994882128,1.1759754038308778
2017-10-12,1.1743477556782371,1.194107723729861,1.2290603222318814,1.2264165003845964,1.1776681335896328
2017-10-13,1.1786480063581217,1.1984803318641717,1.2335609202260496,1.2309074198967578,1.1821892313804587
2017-10-16,1.177096638895026,1.1969028605722563,1.2319372747453252,1.2292872689245946,1.1798204445863454
2017-10-17,1.1748077214694486,1.1945754290565425,1.2295417172154055,1.2268968646245737,1.1773690965937715
2017-10-18,1.173306779926487,1.1930492321688029,1.227970847102837,1.2253293743721934,1.1757251073267654
2017-10-19,1.167587941878781,1.187234167041216,1.2219855701099598,1.2193569695639361,1.1714706965401278
2017-10-20,1.1736254049138666,1.1933732184474477,1.2283043168706933,1.2256621256406361,1.1768153618281254
2017-10-23,1.1723712922080929,1.1920980036225366,1.2269917754850863,1.2243524065421054,1.1760821027509498
2017-10-24,1.1725437367707308,1.1922733497934555,1.227172253907218,1.2245324995150502,1.1767692760257866
2017-10-25,1.1741281319009442,1.1938844044857826,1.22883046557433,1.2261871445396642,1.1779637493752422
2017-10-26,1.1749645913029405,1.1947349384319874,1.2297058951539839,1.2270606934416932,1.1791903855733548
2017-10-27,1.172145921486103,1.1918688407323939,1.2267559038889273,1.2241170510505086,1.1753983419381142
2017-10-30,1.1662896860485732,1.1859140663183088,1.2206268277894927,1.2180011603659069,1.1695035944154675
2017-10-31,1.1674304107220148,1.1870739852058334,1.2218206984038915,1.219192464147042,1.1710182194306502
2017-11-01,1.16899387274826,1.1886637545683434,1.2234570019813438,1.2208252454984811,1.1715332453210696
2017-11-02,1.1683358931302634,1.1879947035650569,1.2227683672218448,1.220138092406986,1.171080909033557
2017-11-03,1.166870447984203,1.1865046003466504,1.221234646946066,1.2186076752295747,1.1692422831012192
2017-11-06,1.1714548026908447,1.191166092935271,1.2260325849744338,1.2233952983151937,1.1741419604710492
2017-11-07,1.175264215492169,1.195039604191129,1.230019477510341,1.2273736132354591,1.176897721635724
2017-11-08,1.1749192078611526,1.194688791346646,1.2296583961161676,1.227013308027062,1.176813289926107
2017-11-09,1.178084372205975,1.1979072138045024,1.2329710245453522,1.230318811900089,1.1794357892368599
2017-11-10,1.1789806022588851,1.198818524124604,1.2339090098419867,1.2312547784388685,1.1804392104841408
2017-11-13,1.1801088918706741,1.1999657987152519,1.2350898662805798,1.2324330938100228,1.181440001822547
2017-11-14,1.177782930859926,1.1976007003082,1.2326555396012955,1.2300040010010864,1.1790651164048762
2017-11-15,1.1720778333666004,1.1917996069371826,1.2266846431552472,1.2240459474999121,1.1739792528482498
2017-11-16,1.1737613712895993,1.1935114726330502,1.2284466168284789,1.2258041296441846,1.1752268006642
2017-11-17,1.1689634533144169,1.1886328232834638,1.2234251646852772,1.2207934827187332,1.1695432916812623
2017-11-20,1.1727884206892094,1.1925221508391493,1.227428336460888,1.2247880420278434,1.1734101677952726
2017-11-21,1.1761794517100046,1.1959702404813297,1.2309773546611078,1.2283294269507867,1.1752380626279197
2017-11-22,1.1770034252383925,1.1968080784626947,1.231839716699266,1.2291899359810279,1.1755287606082738
2017-11-23,1.1692408689920253,1.1889149068487688,1.2237155048600967,1.2210832005470087,1.1682290781716211
2017-11-24,1.1713838189130032,1.1910939147612543,1.2259582941904006,1.2233211662802135,1.1700049470058345
2017-11-27,1.1660965583493825,1.185717688983358,1.220424701502445,1.217799476711317,1.1649645969516158
2017-11-28,1.1695941267665748,1.1892741086566718,1.2240852208084492,1.2214521213660479,1.1686913544126993
2017-11-29,1.1704239080505925,1.190117852118811,1.2249536615294823,1.2223186926887655,1.1697516835672648
2017-11-30,1.1661009523836199,1.1857221569534862,1.2204293003263522,1.2178040649448245,1.1665870560509786
2017-12-01,1.1677848204216443,1.1874343583179643,1.2221916193060836,1.219562593461896,1.168706414755969
2017-12-04,1.1695369166356475,1.1892159358907113,1.224025345591003,1.2213923718833302,1.1703622530418087
2017-12-05,1.1633736935485437,1.1829490083503202,1.2175749793862984,1.2149558820099635,1.1647691033316594
2017-12-06,1.1612181857335888,1.1807572312425898,1.2153190474652293,1.2127047983835646,1.1644981562921553
2017-12-07,1.1556238440422213,1.1750687572856402,1.2094640665344651,1.2068624146193212,1.1582828736596464
2017-12-08,1.159804965631486,1.1793202318231313,1.2138399851923325,1.2112289234843745,1.1616355575597854
2017-12-11,1.1635697986406466,1.1831484131695504,1.2177802204703987,1.21516068635142,1.1645880479492436
2017-12-12,1.1605362263899845,1.1800637970197883,1.2146053152227478,1.2119926070552445,1.161917878264626
2017-12-13,1.1633869260351668,1.1829624634918408,1.2175888284892635,1.2149697001886317,1.1635745423807355
2017-12-14,1.1623936440430747,1.1819524682034723,1.216549269501203,1.2139323796697903,1.1626976012278962
2017-12-15,1.1606366355283015,1.180165895676005,1.2147104024266038,1.2120974679281502,1.1618532811629863
2017-12-18,1.1630768464874408,1.1826471664404812,1.2172643021472511,1.2146458744869515,1.1637966813915084
2017-12-19,1.165603821229548,1.1852166609046222,1.2199090080024875,1.21728489137969,1.1658315538789639
2017-12-20,1.1633815333968824,1.1829569801120292,1.2175831840311517,1.2149640734210339,1.1635340387598045
2017-12-21,1.1649206242095798,1.1845219681809105,1.2191939806036827,1.216571405924076,1.164745519698155
2017-12-22,1.165417696635109,1.185027404512778,1.2197142114142816,1.2170905185744574,1.1646055552867371
2017-12-25,1.162638077133618,1.1822010142014938,1.21680508968175,1.2141876590223524,1.1615943822800312
2017-12-26,1.1647444110049971,1.1843427899509433,1.2190095571129063,1.2163873844938546,1.1638287958478055
2017-12-27,1.1618513736621674,1.1814010733951925,1.2159817340460064,1.213366073036173,1.160759498521969
2017-12-28,1.1644189711230324,1.1840118741091301,1.2186689551477479,1.2160475144362106,1.1626512267415263
2017-12-29,1.1662050019006547,1.185827957237645,1.220538196606652,1.2179127354013277,1.164371987212352
2018-01-01,1.173851630842665,1.1936032509152403,1.2285410791411604,1.2244405614921925,1.1706128430772211
2018-01-02,1.173851630842665,1.1936032509152403,1.2285410791411604,1.2244405614921925,1.1706128430772211
2018-01-03,1.1762500374071705,1.1960420138706194,1.2310512303088945,1.2269518107829225,1.1730136951596701
2018-01-04,1.1779367971209314,1.1977571555673707,1.2328165763523944,1.2282483101684736,1.1742531990437381
2018-01-05,1.178796137200822,1.198630955190806,1.233715951654525,1.2289461549034064,1.1749203657767604
2018-01-08,1.1805992391755689,1.2004643967623312,1.235603060128704,1.230668970761463,1.1765674448046248
2018-01-09,1.1820948664685826,1.2019851899803098,1.23716837111831,1.2319633204449394,1.177804893489819
2018-01-10,1.1809735230989848,1.2008449785122017,1.2359947856542322,1.2305179787148834,1.1764230905301343
2018-01-11,1.1818320214077245,1.201717922200563,1.2368932813448412,1.231318319364254,1.1771882473474238
2018-01-12,1.1814586266685172,1.2013382445966119,1.2365024918505692,1.2299631847092611,1.1758926858631913
2018-01-15,1.1767649683172094,1.1965656091803416,1.2315901581412068,1.2250021659296173,1.1711497587821822
2018-01-16,1.1784537671529245,1.1982828243099952,1.2333576347817634,1.2250784227246057,1.1712226632468359
2018-01-17,1.1771366420730927,1.1969435368431278,1.2319791457814202,1.2233752349736888,1.169594349453513
2018-01-18,1.178096379168941,1.1979194227962837,1.2329835966051854,1.2240035410808525,1.170195034551321
2018-01-19,1.1781763045725808,1.1980006930514921,1.233067243852227,1.223678225944704,1.1698840206169687
2018-01-22,1.182458698447041,1.2023551439173021,1.2375491545050628,1.227980004078007,1.17399668797648
2018-01-23,1.1851406925848684,1.2050822661853422,1.2403561045442562,1.2292897058912395,1.1752488138953958
2018-01-24,1.1869117593724792,1.2068831335349597,1.242209686392566,1.2311581995531375,1.1770351665748244
2018-01-25,1.1872443406313873,1.2072213109173444,1.2425577622422093,1.2324592944099575,1.1782790639082867
2018-01-26,1.1878677397675519,1.2078551995758366,1.243210205652908,1.2316163121786348,1.1774731400786955
2018-01-29,1.1836723235515545,1.2035891898836557,1.2388193232270064,1.2275602467113258,1.1735953835932267
2018-01-30,1.1795838646564052,1.1994319372119697,1.234540382876275,1.2241519498723623,1.1703369191334503
2018-01-31,1.177002292671159,1.1968069268332309,1.2318385361755264,1.2204460228693927,1.1667939086504766
2018-02-01,1.1678493412882223,1.187499964829609,1.2222591526535298,1.2110984939349163,1.1578573070988352
2018-02-02,1.1687619262476072,1.1884279052486857,1.2232142519059257,1.2122275416032355,1.158936720622479
2018-02-05,1.1673517675391611,1.186994018738259,1.2217383916917535,1.2117625796811289,1.1584921989244006
2018-02-06,1.1510807344750256,1.1704492038308079,1.204709293251151,1.1990047124407213,1.1462951811910094
2018-02-07,1.1482769107117794,1.167598201991332,1.2017748363971457,1.1967750464386426,1.144163533694259
2018-02-08,1.1490363928368477,1.1683704634166052,1.2025697006789444,1.1972042921756554,1.144573909328974
2018-02-09,1.136156074759827,1.1552734168004857,1.1890892862570739,1.1860141561818107,1.133875703697609
2018-02-12,1.1425057001131045,1.1617298830732508,1.195734738414655,1.193221510407441,1.1407662149126392
2018-02-13,1.1460303332861017,1.1653138229026423,1.1994235836836435,1.1958859388873608,1.1433135122630966
2018-02-14,1.1506234585568598,1.1699842336351318,1.2042307060511626,1.198791758991161,1.1460915894031496
2018-02-15,1.158297450734285,1.1777873509710914,1.212262227443547,1.2053865300335649,1.1523964472477934
2018-02-16,1.1576023460866913,1.177080550260257,1.2115347394749687,1.2053865300335649,1.1523964472477755
2018-02-19,1.1576023460866913,1.177080550260257,1.2115347417666653,1.2053865300335649,1.152396447247776
2018-02-20,1.1576023460866913,1.177080550260257,1.211534740610655,1.2053865300335649,1.1523964472477757
2018-02-21,1.1591981063648682,1.1787031613344914,1.213204847417125,1.2053865300335649,1.1523964472478179
2018-02-22,1.1578656091933353,1.1773482431199676,1.2118102722012531,1.2053865300335649,1.1523964472477835
2018-02-23,1.1622285684580107,1.1817846149961893,1.2163765031039053,1.2092620203673767,1.1561015668760224
2018-02-26,1.1700314560376686,1.1897187965715217,1.2245429257495506,1.2171676958249569,1.1636597003737883
2018-02-27,1.1678406713158265,1.1874911489733588,1.2222500705590191,1.2154732706947948,1.1620397639870035
2018-02-28,1.1659600254847373,1.1855788587666343,1.2202818035842558,1.214748895961608,1.1613472335428363
2018-03-01,1.1697990049232592,1.1894824341569306,1.2242996346277666,1.2183621768806903,1.1648016707630255
2018-03-02,1.1675918359236128,1.1872381265936265,1.2219896357354922,1.217407828405342,1.163889276468694
2018-03-05,1.165350629167855,1.1849592085435443,1.2196440150136114,1.21721879214824,1.163708550447852
2018-03-06,1.1702730049115886,1.1899644098275677,1.224795723666744,1.2206283808071294,1.166968249937789
2018-03-07,1.166480511091769,1.1861081022385387,1.2208265344745084,1.2174534767188254,1.1639329180333984
2018-03-08,1.1683655645745201,1.1880248742615458,1.2227994100366726,1.2180479524911458,1.1645012600141391
2018-03-09,1.170232178254027,1.1899228962070136,1.224752994054945,1.2190130799404848,1.1654239594272129
2018-03-12,1.1748766183978576,1.1946454852537893,1.2296138159608907,1.2222527429599692,1.1685212033908339
2018-03-13,1.1729012616621617,1.1926368905051061,1.227546426991287,1.220044424082756,1.1664099645764991
2018-03-14,1.1712590060551575,1.1909670017560938,1.2258276598265108,1.2187545881804214,1.1651768312417905
2018-03-15,1.1712791725631773,1.190987507592521,1.2258487665319198,1.2184409419881574,1.1648769732720514
2018-03-16,1.1691914017118257,1.188864607210681,1.2236637300022741,1.2162546522788196,1.1627867951997777
2018-03-19,1.1682637739970045,1.1879213709217349,1.2226928839092495,1.2151910413926095,1.1617699417872183
2018-03-20,1.1688603188532556,1.1885279534412196,1.22331722537045,1.2157369857619085,1.1622918858573577
2018-03-21,1.166473818141149,1.1861012966700932,1.22081954364321,1.2135246507159207,1.1601768074293202
2018-03-22,1.1656714329204645,1.1852854102473707,1.219979774024928,1.2137283256251488,1.1603715285713836
2018-03-23,1.14993650116635,1.1692857172698536,1.2035117597377825,1.1987670731093447,1.1460679887391223
2018-03-26,1.1531679659709058,1.172571555781802,1.2068937768519301,1.201578216362683,1.1487555511244203
2018-03-27,1.158833043490787,1.1783319557904155,1.2128227889094692,1.207080835436789,1.1540162691709244
2018-03-28,1.1519941417753308,1.1713779804277895,1.2056652629530877,1.2019994527498754,1.1491582695088602
2018-03-29,1.1538847855808494,1.1733004368382047,1.207643993282485,1.2038658897458638,1.1509426559356186
2018-03-30,1.1596598687113508,1.1791726934486282,1.2136881292616848,1.209991113962825,1.156798608736095
2018-04-02,1.1612596896537666,1.1807993298258588,1.2153623862946517,1.2118478191821407,1.1585755389520398
2018-04-03,1.159473136694813,1.1789827158889195,1.213492598436879,1.2098647959328295,1.1566796885049302
2018-04-04,1.1564536791458002,1.175912452207094,1.2103324653806995,1.2087071222893344,1.1555729056694855
2018-04-05,1.1600999359577524,1.1796200618298907,1.2141486000657316,1.2116736366288585,1.158409013384761
2018-04-06,1.1600999359577524,1.1796200618298907,1.2141486000657316,1.2116736366288585,1.158409013384761
2018-04-09,1.1612426882929106,1.1807820423959379,1.2153445928461368,1.211673636628859,1.158409013384761
2018-04-10,1.1664420545328686,1.1860688944466553,1.2207861958027495,1.2158204301077722,1.1623735157040347
2018-04-11,1.1681290889756326,1.187784315344459,1.2225518286102832,1.2171452847598063,1.1636401303467456
2018-04-12,1.1656528616358977,1.1852664223965625,1.2199602346753164,1.2146152986287637,1.1612213612579898
2018-04-13,1.1650218032541555,1.1846247456718118,1.2192997754967547,1.2139897283635508,1.16062329077777
2018-04-16,1.1613110643301712,1.1808515689451609,1.2154161544998745,1.2114785591949868,1.1582225114663616
2018-04-17,1.156786641517364,1.1762510170851337,1.210680940356672,1.2072884919093605,1.1542166376372816
2018-04-18,1.1638564057938279,1.1834397389481686,1.2180800825624485,1.2144113144478488,1.1610263441291064
2018-04-19,1.168930209024943,1.1885989152360799,1.2233902725720545,1.218660327313287,1.1650885723170572
2018-04-20,1.1612148122368235,1.1807536972904986,1.2153154180540142,1.2110512731402459,1.1578140087126962
2018-04-23,1.1597224680671996,1.179236242572091,1.2137535460736752,1.2099312750535902,1.156743245233708
2018-04-24,1.1659133626277027,1.1855313066419064,1.2202328723203264,1.2155596325174498,1.1621241826574404
2018-04-25,1.1648497647706757,1.184449812426641,1.2191197217984484,1.2153853996522808,1.1619576089899628
2018-04-26,1.1579726075153551,1.1774569384376965,1.2119221601098635,1.2088096166539113,1.1556708944283036
2018-04-27,1.1585970395276026,1.1780918772960356,1.2125756841986146,1.2086072610152354,1.1554774342516805
2018-04-30,1.1613994131669774,1.1809414043611506,1.2155086194791418,1.2100079318031702,1.1568165321873605
2018-05-01,1.1611538396731076,1.180691698787481,1.2152516047991528,1.21000793180317,1.1568165321873605
2018-05-02,1.1611538396731076,1.180691698787481,1.2152516047991528,1.21000793180317,1.1568165321873605
2018-05-03,1.1626954277785828,1.1822592260322742,1.2168650149736782,1.2130482995394485,1.159723246737583
2018-05-04,1.1612938313374035,1.180834045985833,1.2153981186277956,1.2127677573597595,1.1594550370648118
2018-05-07,1.1668656178125407,1.18649958470589,1.2212294927525322,1.2187323796227514,1.1651574572396939
2018-05-08,1.1686209487548818,1.1882844512769122,1.2230666039704863,1.2193333645724405,1.1657320231637032
2018-05-09,1.1675237421556934,1.1871687828105522,1.2219182788865033,1.2176791405091694,1.1641505180396146
2018-05-10,1.1705117259794267,1.190207043182482,1.2250454718671748,1.2201067970532613,1.1664714559036276
2018-05-11,1.170118599500993,1.1898073018615638,1.2246340297589182,1.2186623954612434,1.165090549550167
2018-05-14,1.1710717369151702,1.1907764769994935,1.2256315735232302,1.2183847476577898,1.1648251070181643
2018-05-15,1.1712923038881171,1.19100075528639,1.2258624166369338,1.2198660732950757,1.1662413142526178
2018-05-16,1.168494908316746,1.1881562900514708,1.2229346913509167,1.2169013787840246,1.1634069463669807
2018-05-17,1.1656912279165703,1.1853054342376774,1.2200003884280444,1.2143350277842213,1.1609534109925939
2018-05-18,1.168347866486033,1.1880067740588733,1.2227807988909851,1.2169396259208607,1.1634435121770366
2018-05-21,1.1718459107344803,1.1915636772572435,1.2264418158392483,1.2202189073381953,1.1665786378713072
2018-05-22,1.1702463038946578,1.189937155040658,1.224767683857142,1.2202818269201732,1.1666387915370133
2018-05-23,1.16616222250441,1.1857843538958968,1.2204933264946187,1.2157521165880933,1.1623082052156812
2018-05-24,1.1672069852279514,1.186846696053104,1.2215867643605052,1.2166036859835854,1.163122340006965
2018-05-25,1.164283546320613,1.1838740666461527,1.218527123422078,1.213921971539888,1.1605585125133286
2018-05-28,1.1639617965807305,1.1835469030662835,1.218190383470509,1.2129042476157186,1.159585527271052
2018-05-29,1.1632116749477297,1.182784159702825,1.2174053139240348,1.213069424231063,1.159743442797339
2018-05-30,1.1542384362421376,1.1736599350833605,1.2080140150585146,1.2045187293693118,1.1515686326016554
2018-05-31,1.160154887312726,1.179675937809832,1.2142061115857694,1.2097448468839205,1.156565012361781
2018-06-01,1.1575024599669852,1.1769788800714407,1.211430108546041,1.2067239668433163,1.1536769288369746
2018-06-04,1.1584348447854056,1.1779269534253507,1.2124059328581709,1.2061359037625436,1.153114716742386
2018-06-05,1.1617669056575817,1.1813150803704766,1.215893233320735,1.209522473759062,1.1563524146585842
2018-06-06,1.1621599809812222,1.1817147696758588,1.2163046218909142,1.2094319351037628,1.1562658560414878
2018-06-07,1.1618734500822105,1.1814234175377094,1.2160047416141142,1.208315438751303,1.1551984403620486
2018-06-08,1.155191492083044,1.1746290272754476,1.2090114734490847,1.202679001932146,1.1498097787478117
2018-06-11,1.1547347719126628,1.174164622219534,1.208533474840256,1.2018385170326742,1.1490062411831332
