date,regime,vol_target,PMI,CPI,M2,CN10Y,US10Y,PMI_zscore,CPI_zscore,M2_zscore,CN10Y_zscore,US10Y_zscore
2023-03-08,stagflation,0.06,52.6,2.1,12.6,2.8828,3.98,2.9340013883711262,0.0008029172758390437,1.1721527282089035,1.0934621578193475,1.3398457035264622
2023-03-09,neutral,0.14,52.6,2.1,12.6,2.8752,3.93,2.881522864903618,-0.00893802967045621,1.1674705052775913,1.001913286046266,1.2295091346672637
2023-03-10,overheat,0.12,52.6,1.0,12.6,2.8627,3.7,2.831420303846755,-2.26650948067462,1.1630119341304523,0.8551570856431724,0.7456244988698643
2023-03-13,overheat,0.12,52.6,1.0,12.9,2.8703,3.55,2.7835144536258216,-2.271727612194657,1.4669158459258063,0.9383020647924943,0.4246986128387387
2023-03-14,overheat,0.12,52.6,1.0,12.9,2.8652,3.64,2.7376444874334003,-2.2769762055701177,1.4620064620862319,0.8751044577521606,0.6089650905625972
2023-03-15,overheat,0.12,52.6,1.0,12.9,2.8652,3.51,2.6936656350246517,-2.2822555695201943,1.4574509302055947,0.8703637723490101,0.325816650605213
2023-03-16,overheat,0.12,52.6,1.0,12.9,2.8552,3.56,2.651447176410195,-2.2875660171787375,1.453262828634479,0.7514613613340786,0.4265503926608275
2023-03-17,overheat,0.12,52.6,1.0,12.9,2.8602,3.39,2.610870733835827,-2.292907866175889,1.4494574024017772,0.8037773651622696,0.050969383530831656
2023-03-20,overheat,0.12,52.6,1.0,12.9,2.8504,3.47,2.571828811001801,-2.2982814387215424,1.4460517535271882,0.6879681729409567,0.21773320198399182
2023-03-21,overheat,0.12,52.6,1.0,12.9,2.8604,3.59,2.529674272693914,-2.30368706169074,1.4430650613728242,0.7975880341459789,0.47592469739660037
2023-03-22,overheat,0.12,52.6,1.0,12.9,2.8577,3.48,2.4891905335120743,-2.309125066710998,1.4405188385591483,0.7619830641586739,0.22400323914963724
2023-03-23,overheat,0.12,52.6,1.0,12.9,2.8652,3.38,2.4502653717961413,-2.314595790251652,1.4384372291873153,0.8422940331088402,-0.007891046106535482
2023-03-24,overheat,0.12,52.6,1.0,12.9,2.8676,3.38,2.4127968655394896,-2.3200995737152654,1.436847357638102,0.8637454285437655,-0.014886943394307342
2023-03-27,overheat,0.12,52.6,1.0,12.9,2.8551,3.53,2.376692206158695,-2.3256367635311492,1.43577973814785,0.7158623904839277,0.3199958995828467
2023-03-28,overheat,0.12,52.6,1.0,12.9,2.8556,3.55,2.3418666751841606,-2.3312077112510705,1.4352687578172552,0.7164671734664996,0.3597800850604914
2023-03-29,overheat,0.12,52.6,1.0,12.9,2.8532,3.57,2.308242758061772,-2.3096664630884973,1.4353532488532772,0.6847629393711806,0.40000166737617215
2023-03-30,overheat,0.12,52.6,1.0,12.9,2.8603,3.55,2.275749373862085,-2.288608893872307,1.4296926533024854,0.7606875143479457,0.34794315476121407
2023-03-31,overheat,0.12,52.6,1.0,12.9,2.8528,3.48,2.2443212033903315,-2.2680163888314944,1.4243362841962612,0.6709743936299916,0.17968152914628335
2023-04-03,overheat,0.12,51.9,1.0,12.9,2.8604,3.43,1.7459765821323792,-2.247871324190324,1.419293650659451,0.7523042749656271,0.05800698448835929
2023-04-04,overheat,0.12,51.9,1.0,12.9,2.8584,3.35,1.7290779475454785,-2.228157000243854,1.4145754590920945,0.7245695049194888,-0.13409976346854105
2023-04-05,overheat,0.12,51.9,1.0,12.9,2.8584,3.3,1.7125115089894885,-2.2088575798796626,1.4101937367804838,0.7217194072844274,-0.25630114290808287
2023-04-06,overheat,0.12,51.9,1.0,12.9,2.8605,3.3,1.6962653992252619,-2.1899580320294207,1.4061619739325673,0.7430276687798516,-0.260379482741187
2023-04-07,overheat,0.12,51.9,1.0,12.9,2.8464,3.39,1.680328334266147,-2.1714440795896532,1.4024952872676537,0.5827029519768561,-0.053497176276974936
