date,width_z,stress,trend_ok,momentum_score,vol_high,vol_low,breadth,top_sector_conc,y_reg,y_cls
2024-07-02,-1.142020655550147,0.00040291265126315994,0,-0.5,0.0,1.0,0.42105263157894735,0.6666666666666666,0.012779253504994426,0
2024-07-03,-0.11292595863683659,0.5751096028571918,0,-1.0,0.0,1.0,0.4473684210526316,0.6666666666666666,0.009895668022754656,0
2024-07-04,0.8803377531084792,0.9931934822876466,0,-0.5,0.0,1.0,0.3157894736842105,0.6666666666666666,0.01700017258480635,0
2024-07-05,0.6461851084825778,0.8897492368833664,0,-1.0,0.0,1.0,0.47368421052631576,0.6666666666666666,0.01257344972360741,0
2024-07-08,0.9663504681593419,0.9989511835576966,0,-1.0,0.0,1.0,0.23684210526315788,0.6666666666666666,0.020337141108379253,0
2024-07-09,1.0061876996118968,0.9994235073347804,0,0.0,0.0,0.0,0.8421052631578947,1.0,-0.011537767647737174,0
2024-07-10,-1.112764258565366,0.00044154131643992054,0,-1.0,0.0,0.0,0.3157894736842105,1.0,-0.017115308439494492,0
2024-07-11,1.136847035939725,0.999331405825457,0,0.5,0.0,0.0,0.9210526315789473,1.0,-0.04121492675318661,1
2024-07-12,1.1919920388353358,0.9872099195847337,0,0.5,0.0,0.0,0.42105263157894735,1.0,-0.030099565037029152,1
2024-07-15,-0.7075244930415314,0.11568589475348531,1,0.5,0.0,0.0,0.3684210526315789,1.0,-0.029751926783937677,1
2024-07-16,-0.8748001491792605,0.002309903721916391,0,0.5,0.0,0.0,0.6052631578947368,1.0,-0.03872071630018126,1
2024-07-17,-0.610169200427803,0.13789768051407558,0,0.5,0.0,0.0,0.47368421052631576,1.0,-0.013301360503802928,0
2024-07-18,-0.8721909332396706,8.078153742726831e-05,0,0.5,0.0,0.0,0.5526315789473685,1.0,-0.017070777487892652,0
2024-07-19,0.09701370294337272,0.4652312494891755,0,0.5,0.0,0.0,0.4473684210526316,1.0,-0.029868905133158985,1
2024-07-22,-0.8357323126563759,0.0052895112118871304,0,1.0,0.0,0.0,0.42105263157894735,1.0,-0.05276489268827844,1
2024-07-23,1.6349890594265897,0.9999984579273281,0,-1.0,0.0,0.0,0.21052631578947367,1.0,-0.02662529482028131,1
2024-07-24,-0.7204290658429101,0.00030357970226072353,0,-1.0,0.0,0.0,0.21052631578947367,1.0,-0.01778888198948947,0
2024-07-25,1.5291496195191863,0.9356105113713558,0,-1.0,0.0,0.0,0.21052631578947367,1.0,-0.007100639007783127,0
2024-07-26,-0.6086809613729436,0.006511455961415808,0,-1.0,0.0,0.0,0.7894736842105263,1.0,-0.01528101389578751,0
2024-07-29,-0.1480629340345378,0.21837646317420584,0,-1.0,0.0,0.0,0.42105263157894735,0.6666666666666666,-0.01366017845993539,0
2024-07-30,-0.5960460849587069,0.00018501389861387543,0,-1.0,0.0,0.0,0.23684210526315788,0.6666666666666666,-0.005868773612537681,0
2024-07-31,2.4358440797188,0.9999986456342722,0,-0.5,1.0,0.0,0.9473684210526315,0.6666666666666666,-0.03750672041519865,1
2024-08-01,-0.31908627958531327,0.0005243569877580131,1,0.0,1.0,0.0,0.3157894736842105,0.6666666666666666,-0.02713528810164889,1
2024-08-02,2.12315661325682,0.9068955436302074,0,-0.5,1.0,0.0,0.18421052631578946,0.6666666666666666,-0.006316887577118568,0
2024-08-05,2.6616219424862715,0.999993771585328,0,-1.0,1.0,0.0,0.07894736842105263,0.6666666666666666,0.018945270004299575,0
2024-08-06,-0.08290391258155438,0.0,0,-1.0,1.0,0.0,0.7105263157894737,1.0,0.004745091807514035,0
2024-08-07,-0.11235600448026234,0.00037467187547390505,0,-1.0,1.0,0.0,0.47368421052631576,1.0,0.0017129687085417622,0
2024-08-08,-0.15792322336143103,0.002455854582011372,0,-1.0,1.0,0.0,0.47368421052631576,1.0,-0.0029246762440799934,0
2024-08-09,-0.15445711167898696,0.0005982932773494582,0,-1.0,1.0,0.0,0.4473684210526316,1.0,-0.0037143773584839,0
2024-08-12,-0.15854192972986167,0.007936870446917049,0,-0.5,1.0,0.0,0.5,1.0,-0.0028804926474556014,0
2024-08-13,-0.15484496507704074,0.002040673601473184,0,-0.5,1.0,0.0,0.7105263157894737,1.0,-0.012870784373582134,0
2024-08-14,-0.18255610596446914,0.00048419233606858777,0,-1.0,1.0,0.0,0.18421052631578946,1.0,-0.008976684270380897,0
2024-08-15,-0.05640413552509347,0.06309896272596242,0,-0.5,1.0,0.0,0.868421052631579,1.0,-0.014147328911335744,0
2024-08-16,2.114422284172097,0.9115071479002882,0,-0.5,1.0,0.0,0.5263157894736842,1.0,-0.003450925008429806,0
2024-08-19,-0.24526953825006667,0.0011256916522137596,0,0.0,1.0,0.0,0.39473684210526316,1.0,-0.021431439810154274,1
2024-08-20,-0.32761149893858726,0.005848327060270502,0,0.0,1.0,0.0,0.2631578947368421,1.0,-0.01028611260961998,0
2024-08-21,-0.38840640954072225,3.203243935580645e-05,0,0.0,1.0,0.0,0.34210526315789475,1.0,-0.019758365753790752,0
2024-08-22,-0.39627712792507536,0.031205923383276397,0,-1.0,1.0,0.0,0.3157894736842105,1.0,-0.010906266900555517,0
2024-08-23,-0.5145952255214157,3.926791191789904e-05,0,-1.0,0.0,0.0,0.42105263157894735,1.0,-0.017926442112804253,0
2024-08-26,-0.5597695932485454,0.0018705943832725924,0,-1.0,0.0,0.0,0.5789473684210527,1.0,-0.027480858823066834,1
2024-08-27,-0.4661557422290419,0.059591999811684455,0,-1.0,0.0,0.0,0.2631578947368421,1.0,-0.01977464177883126,0
2024-08-28,-0.8826562552495844,0.0012364835737998744,0,-1.0,0.0,0.0,0.3684210526315789,1.0,-0.0163981821047694,0
2024-08-29,-0.5877519046119644,0.15555560621245149,0,-1.0,0.0,0.0,0.5789473684210527,1.0,-0.01778915981404139,0
2024-08-30,1.4777131280400764,0.9999989109629247,0,-0.5,0.0,0.0,0.8421052631578947,1.0,-0.03491884931315592,1
2024-09-02,1.2615556613721504,0.9999899790758695,0,-1.0,0.0,0.0,0.15789473684210525,0.3333333333333333,-0.014691713326778544,0
2024-09-03,-0.9767083814360394,0.004934976480204699,0,-0.5,0.0,0.0,0.7631578947368421,0.6666666666666666,-0.009486424031220575,0
2024-09-04,0.19879173228639968,0.5545051553780465,0,-1.0,0.0,0.0,0.07894736842105263,1.0,0.0035261306523519664,0
2024-09-05,-0.9253431911417709,0.0007885363338284641,0,-1.0,0.0,0.0,0.6842105263157895,1.0,0.0007624439869664545,0
2024-09-06,-0.9138843503823018,0.003555522900649038,0,-1.0,0.0,0.0,0.2894736842105263,1.0,0.041004860061592874,0
2024-09-09,-0.9049013602005023,0.014206765204962928,0,-1.0,0.0,0.0,0.10526315789473684,1.0,0.05742538352248627,0
2024-09-10,-0.9644236348260644,0.00307495404441012,0,-1.0,0.0,0.0,0.5263157894736842,1.0,0.09779787750758584,0
2024-09-11,-0.9850006723745109,0.0058456733927724595,0,-1.0,0.0,0.0,0.5526315789473685,0.6666666666666666,0.14427669756665518,0
2024-09-12,-0.9086392304258284,0.041548913685934497,0,-1.0,0.0,0.0,0.3157894736842105,0.6666666666666666,0.21927372092286657,0
2024-09-13,-0.9420376314015245,0.04913115657066308,0,-1.0,0.0,0.0,0.39473684210526316,0.6666666666666666,0.2741367163157351,0
2024-09-18,-0.9826383474542908,0.01305004036131567,0,-0.5,0.0,0.0,0.42105263157894735,0.3333333333333333,0.21388309196568955,0
2024-09-19,-0.22005318599447043,0.3891865344922746,0,-0.5,0.0,0.0,0.8157894736842105,0.3333333333333333,0.20258059338198153,0
2024-09-20,-0.9257758361942661,0.001742722600946518,0,0.0,0.0,0.0,0.5263157894736842,0.3333333333333333,0.1743575049338968,0
2024-09-23,-0.9346095154613085,0.0002327080571573792,0,0.0,0.0,0.0,0.5263157894736842,0.3333333333333333,0.19327954680184978,0
2024-09-24,2.0484815652870147,0.9999998295909729,1,0.5,1.0,0.0,0.7894736842105263,0.6666666666666666,0.13546525704634949,0
2024-09-25,-0.3927010332937324,0.0065032119730415346,1,0.5,1.0,0.0,0.8157894736842105,0.6666666666666666,0.12236311390801413,0
2024-09-26,2.6861484394848616,0.9999988488227896,1,1.0,1.0,0.0,0.9736842105263158,1.0,0.07242123108552412,0
2024-09-27,3.300098134306127,0.9999982514210874,1,1.0,1.0,0.0,0.7368421052631579,1.0,0.06154440313141829,0
2024-09-30,4.044631696434942,0.9999971894734364,1,1.0,1.0,0.0,0.7894736842105263,0.6666666666666666,0.0014236084434608998,0
2024-10-08,3.963710667745654,0.998786681021629,1,1.0,1.0,0.0,0.6842105263157895,0.6666666666666666,-0.037012807194347075,1
2024-10-09,3.956327425525497,0.9997737346245243,1,1.0,1.0,0.0,0.23684210526315788,0.6666666666666666,0.010107605755243387,0
2024-10-10,1.4796929455283983,0.030719538233437243,1,1.0,1.0,0.0,0.47368421052631576,0.6666666666666666,-0.00010643257416997898,0
2024-10-11,1.4040029581427813,0.005053265460392619,1,1.0,1.0,0.0,0.2631578947368421,0.6666666666666666,0.031031335992849574,0
2024-10-14,1.3499739194045302,0.0007869533120503009,0,0.5,1.0,0.0,0.9473684210526315,0.6666666666666666,0.02142821966822228,0
2024-10-15,1.3555775812679616,0.006376369137763352,0,0.5,1.0,0.0,0.18421052631578946,0.6666666666666666,0.03099761024890757,0
2024-10-16,1.2935938576138017,0.003662226857142712,0,0.5,1.0,0.0,0.34210526315789475,0.6666666666666666,0.03117716669498738,0
2024-10-17,1.2364960255478235,0.0009163314135506744,0,0.5,1.0,0.0,0.3157894736842105,0.6666666666666666,0.038968490341732887,0
2024-10-18,1.4254322637822536,0.09539070109746862,1,1.0,1.0,0.0,0.8421052631578947,0.6666666666666666,-0.0021250431405291925,0
2024-10-21,1.2002667719016913,0.006368844919389208,0,1.0,1.0,0.0,0.6052631578947368,0.6666666666666666,0.0029355695430162143,0
