date,width_z,stress,fired,alert_level
2022-03-04,-0.28849150897107495,0.0022794891245730866,0,green
2022-03-07,2.380604097503084,0.9999052272444787,1,red
2022-03-08,2.3585704647146826,0.9709724545826333,1,yellow
2022-03-09,-0.09367302945093003,0.01049042148834445,0,green
2022-03-10,0.9923670225913324,0.42040756357207965,0,green
2022-03-11,0.021347003677163384,0.0005469277464051014,0,green
2022-03-14,2.004977407504923,0.7639109563759934,1,green
2022-03-15,3.0113805943516843,0.9967074772363879,1,red
2022-03-16,3.250256725002306,0.9851834909865891,1,red
2022-03-17,0.7313854936103205,0.010155189766157244,0,green
2022-03-18,0.7014613391678701,0.0005151659151732911,0,green
2022-03-21,0.6810348429977628,0.00014030253039779432,0,green
2022-03-22,0.6560390884619376,0.000518189229595817,0,green
2022-03-23,0.6094529991956894,0.0010506438649467644,0,green
2022-03-24,0.5144372989268231,0.0006259130633155058,0,green
2022-03-25,0.466661088371353,0.0009875936730417922,0,green
2022-03-28,0.444631523281694,0.0008374141335686616,0,green
2022-03-29,0.3874032645412893,0.00036697517338074294,0,green
2022-03-30,0.64961483829897,0.08770431511420833,0,green
2022-03-31,0.4101986113879529,0.00017959282857835286,0,green
2022-04-01,0.3824674261567088,0.0010074308480939977,0,green
2022-04-06,0.24883768690112268,0.0025442597423548474,0,green
2022-04-07,0.16474147364570577,0.00011542483919575169,0,green
2022-04-08,0.11513360998394162,0.00018828224073737335,0,green
2022-04-11,2.107196518510018,0.7709545597991678,1,green
2022-04-12,0.22900236659533268,0.02632885288150747,0,green
2022-04-13,0.08245860511024798,0.002000995199928919,0,green
2022-04-14,-0.17489074661489487,0.003739318204230072,0,green
2022-04-15,-0.41923882557001046,0.00035270147592489565,0,green
2022-04-18,-0.4872952671716936,0.009464269429852736,0,green
2022-04-19,-0.526069369487808,0.0003468417841887229,0,green
2022-04-20,-0.374798225101442,0.07560123624270501,0,green
2022-04-21,-0.44778153784052943,0.03821627289229929,0,green
2022-04-22,-0.588601103873531,0.00020091259810522906,0,green
2022-04-25,2.493065999659415,0.9998810922683312,1,red
2022-04-26,-0.13020952324136986,0.025623205948882045,0,green
2022-04-27,2.488881287819351,0.9440878733027974,1,yellow
2022-04-28,-0.05112504970358096,0.0007603911439115939,0,green
2022-04-29,2.473153291611065,0.9229599782133173,1,yellow
2022-05-05,0.006267838764751063,0.00021202483082284593,0,green
2022-05-06,0.07118407246066609,0.019088071358174186,0,green
2022-05-09,0.013160179574802528,0.0001928778867667535,0,green
2022-05-10,-0.0004515101413393242,0.0006289909542639046,0,green
2022-05-11,-0.00045270436531758815,0.0020839904805618654,0,green
2022-05-12,-0.1235285747105212,0.0010172168631624623,0,green
2022-05-13,-0.13831637430747448,0.005628277171481211,0,green
2022-05-16,-0.19862725893024008,0.00023999902658211264,0,green
2022-05-17,-0.20921957542106698,0.0006944774683816036,0,green
2022-05-18,-0.26806389537805203,8.17963196631037e-05,0,green
2022-05-19,-0.1746091222680017,0.0,0,green
2022-05-20,0.056935695326598396,0.09689354578968175,0,green
2022-05-23,-0.26164879190465995,4.067693857152097e-05,0,green
2022-05-24,1.6722661490412374,0.6977652095791796,1,green
2022-05-25,-0.2522721074463217,0.000131709608231916,0,green
2022-05-26,-0.5798414384644817,0.0007488761201255717,0,green
2022-05-27,-0.5444890464224597,0.05637987958755056,0,green
2022-05-30,-0.8045222208500274,0.0060104175069322415,0,green
2022-05-31,-0.507284974899701,0.15691812539531166,0,green
2022-06-01,-1.0668322301524016,1.569992731689554e-05,0,green
2022-06-02,-0.9835903662343967,0.05574261329589002,0,green
2022-06-06,1.2785141223879348,0.9995208622000382,1,red
2022-06-07,-1.2118062861087524,0.00018721926151430871,0,green
2022-06-08,-1.1237724850954465,0.02789852460463385,0,green
2022-06-09,-1.1593388604987243,0.0012491756033085743,0,green
2022-06-10,0.5046925299640336,0.7327751571985217,1,green
2022-06-13,1.330660660429941,0.9997620822023721,1,red
2022-06-14,0.40896934908948646,0.6629828940115444,1,green
2022-06-15,-1.0064815076783953,0.05838758279945684,0,green
2022-06-16,-1.0051670217133464,0.055793626066461294,0,green
2022-06-17,-1.0207858622322983,0.039918173899139854,0,green
2022-06-20,-1.0422910063079673,0.03337491510670857,0,green
2022-06-21,-1.0999243364217608,0.00027118468970093666,0,green
2022-06-22,-1.0872562967037487,0.04198989815182308,0,green
2022-06-23,1.4461045195002036,0.9796178519132722,1,yellow
2022-06-24,-0.24203551940584772,0.376001159781714,0,green
2022-06-27,-1.0404474817273788,0.010130400370441436,0,green
2022-06-28,-1.0349813413165088,0.00555303850603229,0,green
2022-06-29,0.8426947820123726,0.7483303066890322,1,green
2022-06-30,-0.8817263906773466,0.03129013864433289,0,green
2022-07-01,-0.9489138532333855,3.665744246544013e-05,0,green
2022-07-04,-0.36518186337353836,0.2839935162595566,0,green
2022-07-05,-0.9526735251188424,0.00019465830861242875,0,green
2022-07-06,1.3133503298460107,0.913041171792661,1,green
2022-07-07,-0.9537245933653672,0.0004653806252426663,0,green
2022-07-08,-0.9850610585979676,8.673922558622566e-06,0,green
2022-07-11,-0.530074518798227,0.22991051571177598,0,green
2022-07-12,0.4411869203479235,0.6434195658027134,1,green
2022-07-13,-1.027584982928854,8.123081230969262e-05,0,green
2022-07-14,-1.0428505902304548,0.0006060111415561404,0,green
2022-07-15,-0.7441081547280164,0.14956904487593448,0,green
2022-07-18,0.8118446385865199,0.7893051358639387,1,green
2022-07-19,-0.9986110760610174,2.1849120378732614e-05,0,green
2022-07-20,-0.35386173550437133,0.33419420079106865,0,green
2022-07-21,-1.0793643283824135,5.6612861226600756e-05,0,green
2022-07-22,-1.1283043104915602,0.0003508038395381913,0,green
2022-07-25,-1.163514716760685,1.4555126207042227e-05,0,green
2022-07-26,-1.1841418025251105,0.005401061824447329,0,green
2022-07-27,-1.2522663090309496,1.1645013739467105e-05,0,green
2022-07-28,-1.3401019587729206,0.00824243637335688,0,green
2022-07-29,1.414343543978131,0.9999997285816791,1,red
2022-08-01,-1.1744565372770917,0.05434559721845113,0,green
2022-08-02,1.381565894569982,0.9925620263858964,1,red
2022-08-03,0.113248173757843,0.5768096600728482,0,green
2022-08-04,-1.1521348605186053,0.005641382128092545,0,green
2022-08-05,1.6487044838454499,0.9999729866585022,1,red
2022-08-08,-1.0316054702418764,0.00010104222600537721,0,green
2022-08-09,-1.0659188285896355,0.0001638779490993993,0,green
2022-08-10,-1.0230973085468764,0.003258482755517419,0,green
2022-08-11,1.66028250991615,0.999998187704049,1,red
