date,width_z,stress,trigger,cross_dispersion,anomaly_frac,max_hw,top_assets,fwd_5d_ret,fwd_10d_ret,classification
2024-08-05,2.66,1.0,both,0.0274,0.447,0.0971,"513520:0.0971, 513880:0.0933, 515880:0.0830",0.0102,0.0189,FP
2024-08-16,2.11,0.912,both,0.0144,0.105,0.0936,"513880:0.0936, 513520:0.0923, 159941:0.0841",-0.0143,-0.0033,neutral
2024-08-30,1.48,1.0,stress,0.0143,0.5,0.0855,"513880:0.0855, 513520:0.0835, 159941:0.0779",-0.0287,-0.0352,TP
2024-09-02,1.26,1.0,stress,0.0153,0.658,0.0688,"512200:0.0688, 161226:0.0676, 159941:0.0647",-0.0175,-0.0146,TP
2024-09-24,2.05,1.0,both,0.0242,0.711,0.07,"512690:0.0700, 515880:0.0683, 161226:0.0673",0.2002,0.1334,FP
2024-09-26,2.69,1.0,both,0.0266,0.737,0.0956,"512690:0.0956, 512200:0.0912, 159928:0.0903",0.1094,0.0756,FP
2024-09-27,3.3,1.0,both,0.0386,0.737,0.1137,"512690:0.1137, 512200:0.1100, 159928:0.1035",0.0431,0.065,FP
2024-09-30,4.04,1.0,both,0.049,0.789,0.1571,"159915:0.1571, 512690:0.1292, 512200:0.1253",-0.0059,0.0046,neutral
2024-10-08,3.96,0.999,both,0.0548,0.474,0.2001,"159915:0.2001, 512690:0.1283, 512000:0.1275",-0.0668,-0.0355,TP
2024-10-09,3.96,1.0,both,0.0548,0.658,0.2306,"159915:0.2306, 512690:0.1447, 512200:0.1441",-0.0249,0.0112,FP
2024-11-22,1.61,0.996,stress,0.0195,0.316,0.131,"159915:0.1310, 512000:0.1233, 512480:0.1188",0.0122,0.0297,FP
2024-12-13,0.69,0.999,stress,0.0122,0.342,0.102,"159915:0.1020, 512980:0.0866, 515030:0.0857",-0.0096,-0.0029,neutral
2024-12-19,-0.1,0.671,stress,0.0144,0.158,0.0799,"159915:0.0799, 512760:0.0705, 512980:0.0703",0.007,-0.0388,TP
2024-12-23,0.29,0.974,stress,0.0178,0.211,0.0877,"512980:0.0877, 159915:0.0866, 512200:0.0796",0.0081,-0.0314,TP
