date,coverage,coverage_gap,downside_violation,upside_violation,alert_level,trigger_confidence,fired
2022-03-01,0.9907894736842107,0.0,0.003947368421052633,0.005263157894736842,green,no_fire,0
2022-03-02,0.9921052631578948,0.0,0.002631578947368421,0.005263157894736842,green,no_fire,0
2022-03-03,0.9921052631578948,0.0,0.002631578947368421,0.005263157894736842,green,no_fire,0
2022-03-04,0.9921052631578948,0.0,0.002631578947368421,0.005263157894736842,green,no_fire,0
2022-03-07,0.993421052631579,0.0,0.002631578947368421,0.003947368421052633,green,no_fire,0
2022-03-08,0.993421052631579,0.0,0.002631578947368421,0.003947368421052633,green,no_fire,0
2022-03-09,0.994736842105263,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2022-03-10,0.9907894736842104,0.0,0.006578947368421052,0.002631578947368421,green,no_fire,0
2022-03-11,0.9907894736842104,0.0,0.006578947368421052,0.002631578947368421,green,no_fire,0
2022-03-14,0.9921052631578948,0.0,0.005263157894736842,0.002631578947368421,green,no_fire,0
2022-03-15,0.9907894736842107,0.0,0.006578947368421052,0.002631578947368421,green,no_fire,0
2022-03-16,0.9907894736842107,0.0,0.006578947368421052,0.002631578947368421,green,no_fire,0
2022-03-17,0.9907894736842107,0.0,0.006578947368421052,0.002631578947368421,green,no_fire,0
2022-03-18,0.9907894736842107,0.0,0.006578947368421052,0.002631578947368421,green,no_fire,0
2022-03-21,0.9907894736842107,0.0,0.006578947368421052,0.002631578947368421,green,skip_trend,0
2022-03-22,0.9907894736842107,0.0,0.006578947368421052,0.002631578947368421,green,skip_trend,0
2022-03-23,0.9921052631578948,0.0,0.006578947368421052,0.0013157894736842105,green,skip_trend,0
2022-03-24,0.9921052631578948,0.0,0.006578947368421052,0.0013157894736842105,green,no_fire,0
2022-03-25,0.9921052631578948,0.0,0.006578947368421052,0.0013157894736842105,green,no_fire,0
2022-03-28,0.9921052631578948,0.0,0.006578947368421052,0.0013157894736842105,green,no_fire,0
2022-03-29,0.9921052631578948,0.0,0.006578947368421052,0.0013157894736842105,green,no_fire,0
2022-03-30,0.9921052631578948,0.0,0.006578947368421052,0.0013157894736842105,green,no_fire,0
2022-03-31,0.9921052631578948,0.0,0.006578947368421052,0.0013157894736842105,green,no_fire,0
2022-04-01,0.9907894736842107,0.0,0.007894736842105265,0.0013157894736842105,green,no_fire,0
2022-04-06,0.9907894736842107,0.0,0.007894736842105265,0.0013157894736842105,green,no_fire,0
2022-04-07,0.9907894736842107,0.0,0.007894736842105265,0.0013157894736842105,green,no_fire,0
2022-04-08,0.9907894736842107,0.0,0.007894736842105265,0.0013157894736842105,green,no_fire,0
2022-04-11,0.994736842105263,0.0,0.003947368421052633,0.0013157894736842105,green,no_fire,0
2022-04-12,0.993421052631579,0.0,0.003947368421052633,0.002631578947368421,green,no_fire,0
2022-04-13,0.994736842105263,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2022-04-14,0.994736842105263,0.0,0.0013157894736842105,0.003947368421052633,green,no_fire,0
2022-04-15,0.994736842105263,0.0,0.0013157894736842105,0.003947368421052633,green,no_fire,0
2022-04-18,0.994736842105263,0.0,0.0013157894736842105,0.003947368421052633,green,no_fire,0
2022-04-19,0.994736842105263,0.0,0.0013157894736842105,0.003947368421052633,green,no_fire,0
2022-04-20,0.994736842105263,0.0,0.0013157894736842105,0.003947368421052633,green,no_fire,0
2022-04-21,0.994736842105263,0.0,0.0013157894736842105,0.003947368421052633,green,no_fire,0
2022-04-22,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2022-04-25,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2022-04-26,0.993421052631579,0.0,0.003947368421052633,0.002631578947368421,green,no_fire,0
2022-04-27,0.993421052631579,0.0,0.003947368421052633,0.002631578947368421,green,no_fire,0
2022-04-28,0.993421052631579,0.0,0.003947368421052633,0.002631578947368421,green,no_fire,0
2022-04-29,0.993421052631579,0.0,0.003947368421052633,0.002631578947368421,green,no_fire,0
2022-05-05,0.993421052631579,0.0,0.003947368421052633,0.002631578947368421,green,skip_trend,0
2022-05-06,0.993421052631579,0.0,0.003947368421052633,0.002631578947368421,green,skip_trend,0
2022-05-09,0.993421052631579,0.0,0.003947368421052633,0.002631578947368421,green,no_fire,0
2022-05-10,0.993421052631579,0.0,0.003947368421052633,0.002631578947368421,green,no_fire,0
2022-05-11,0.993421052631579,0.0,0.003947368421052633,0.002631578947368421,green,no_fire,0
2022-05-12,0.993421052631579,0.0,0.003947368421052633,0.002631578947368421,green,no_fire,0
2022-05-13,0.9921052631578948,0.0,0.003947368421052633,0.003947368421052633,green,no_fire,0
2022-05-16,0.9921052631578948,0.0,0.003947368421052633,0.003947368421052633,green,skip_trend,0
2022-05-17,0.9934210526315791,0.0,0.003947368421052633,0.002631578947368421,green,skip_trend,0
2022-05-18,0.9934210526315791,0.0,0.003947368421052633,0.002631578947368421,green,no_fire,0
2022-05-19,0.9907894736842109,0.0,0.006578947368421052,0.002631578947368421,green,no_fire,0
2022-05-20,0.9907894736842109,0.0,0.006578947368421052,0.002631578947368421,green,no_fire,0
2022-05-23,0.9907894736842109,0.0,0.006578947368421052,0.002631578947368421,green,no_fire,0
2022-05-24,0.9907894736842109,0.0,0.006578947368421052,0.002631578947368421,green,no_fire,0
2022-05-25,0.9907894736842109,0.0,0.006578947368421052,0.002631578947368421,green,no_fire,0
2022-05-26,0.9907894736842109,0.0,0.006578947368421052,0.002631578947368421,green,no_fire,0
